frequence(x) - FreqInSelectedMotifs(y) 
18 - 2
1 - 1
2 - 1
8 - 1
4 - 1
16 - 1
64 - 1
1 - 1
1 - 1
72 - 3
112 - 3
54 - 1
18 - 1
24 - 1
12 - 1
1 - 1
2 - 1
1 - 1
1 - 1
2 - 1
108 - 3
1 - 1
12 - 1
18 - 1
104 - 2
8 - 1
32 - 1
32 - 1
4 - 1
4 - 1
3 - 1
24 - 1
48 - 1
6 - 1
624 - 4
9 - 1
2 - 1
3 - 1
2 - 1
9 - 1
16 - 1
1 - 1
3 - 1
1 - 1
144 - 1
6 - 1
8 - 1
1 - 1
1 - 1
1 - 1
18 - 1
108 - 1
2 - 1
64 - 2
1 - 1
162 - 1
4 - 1
2 - 1
2 - 1
4 - 1
48 - 1
4 - 1
216 - 2
3968 - 43
1 - 1
16 - 1
72 - 1
3 - 1
1 - 1
624 - 10
12 - 2
292 - 1
2 - 1
2 - 1
1 - 1
1 - 1
36 - 2
144 - 2
1 - 1
64 - 1
2 - 1
2 - 1
1 - 1
8 - 1
3 - 1
27 - 1
1 - 1
16 - 1
1312 - 4
1 - 1
1 - 1
2 - 1
1 - 1
32 - 1
1 - 1
4 - 1
1 - 1
576 - 5
1 - 1
24 - 1
