frequence(x) - FreqInSelectedMotifs(y) 
128 - 1
4 - 1
32 - 1
24 - 1
36 - 1
36 - 1
16 - 1
36 - 1
144 - 1
144 - 1
72 - 1
3 - 1
24 - 1
144 - 1
4 - 1
18 - 1
8 - 1
4 - 1
512 - 1
48 - 1
16 - 1
4 - 1
432 - 1
32 - 1
24 - 1
36 - 1
3 - 1
64 - 1
64 - 1
72 - 1
864 - 1
32 - 1
12 - 1
36 - 1
8 - 1
4 - 1
18 - 1
1296 - 1
6 - 1
6 - 1
72 - 1
32 - 1
8 - 1
12 - 1
54 - 1
24 - 1
6 - 1
36 - 1
16 - 1
72 - 1
36 - 1
72 - 1
108 - 1
4 - 1
2 - 1
128 - 1
4 - 1
64 - 1
16 - 1
48 - 1
8 - 1
512 - 1
24 - 1
12 - 1
3 - 1
64 - 1
18 - 1
16 - 1
216 - 1
48 - 1
16 - 1
32 - 1
24 - 1
12 - 1
144 - 1
216 - 1
864 - 1
54 - 1
108 - 1
2 - 1
72 - 1
96 - 1
96 - 1
32 - 1
48 - 1
100 - 1
6 - 1
8 - 1
80 - 1
432 - 1
72 - 1
8 - 1
16 - 1
6 - 1
12 - 1
432 - 1
288 - 1
48 - 1
36 - 1
648 - 1
